uniprot_accession	entry_name	description	protein_length_aa	hk_status	hk_source	ensg_mapping_status	uniprot_db_prefix	entry_name_from_fasta	review_status_from_fasta
Q8N2B8	YB035_HUMAN	Putative uncharacterized protein FLJ33534 OS=Homo sapiens OX=9606 PE=2 SV=1	174	non-HK		not_mapped_to_ensg	sp	YB035_HUMAN	Swiss-Prot reviewed
Q8NA96	YE027_HUMAN	Putative uncharacterized protein FLJ35723 OS=Homo sapiens OX=9606 PE=5 SV=2	180	non-HK		not_mapped_to_ensg	sp	YE027_HUMAN	Swiss-Prot reviewed
A6NNH2	F90AR_HUMAN	Protein FAM90A27P OS=Homo sapiens OX=9606 GN=FAM90A27P PE=1 SV=2	459	non-HK		not_mapped_to_ensg	sp	F90AR_HUMAN	Swiss-Prot reviewed
Q9H8W2	CF155_HUMAN	Putative uncharacterized protein encoded by LINC00472 OS=Homo sapiens OX=9606 GN=LINC00472 PE=5 SV=2	130	non-HK		not_mapped_to_ensg	sp	CF155_HUMAN	Swiss-Prot reviewed
Q3SYA9	P12L1_HUMAN	Putative POM121-like protein 1 OS=Homo sapiens OX=9606 GN=POM121L1P PE=5 SV=2	428	non-HK		not_mapped_to_ensg	sp	P12L1_HUMAN	Swiss-Prot reviewed
Q6ZT77	ZN826_HUMAN	Putative zinc finger protein 826 OS=Homo sapiens OX=9606 GN=ZNF826P PE=5 SV=2	177	non-HK		not_mapped_to_ensg	sp	ZN826_HUMAN	Swiss-Prot reviewed
Q8N7H1	CL061_HUMAN	Putative uncharacterized protein encoded by LINC01465 OS=Homo sapiens OX=9606 GN=LINC01465 PE=1 SV=1	131	non-HK		not_mapped_to_ensg	sp	CL061_HUMAN	Swiss-Prot reviewed
Q96P88	GNRR2_HUMAN	Putative gonadotropin-releasing hormone II receptor OS=Homo sapiens OX=9606 GN=GNRHR2 PE=5 SV=4	292	non-HK		not_mapped_to_ensg	sp	GNRR2_HUMAN	Swiss-Prot reviewed
A6NGU5	GGT3_HUMAN	Putative glutathione hydrolase 3 proenzyme OS=Homo sapiens OX=9606 GN=GGT3P PE=5 SV=2	568	non-HK		not_mapped_to_ensg	sp	GGT3_HUMAN	Swiss-Prot reviewed
B3KNS4	B3KNS4_HUMAN	Endogenous retrovirus group K3 member 1 OS=Homo sapiens OX=9606 GN=ERVK3-1 PE=1 SV=1	109	non-HK		not_mapped_to_ensg	tr	B3KNS4_HUMAN	TrEMBL unreviewed
O15197	EPHB6_HUMAN	Ephrin type-B receptor 6 OS=Homo sapiens OX=9606 GN=EPHB6 PE=1 SV=4	1021	non-HK		not_mapped_to_ensg	sp	EPHB6_HUMAN	Swiss-Prot reviewed
O43423	AN32C_HUMAN	Putative uncharacterized protein ANP32CP OS=Homo sapiens OX=9606 GN=ANP32CP PE=5 SV=1	234	non-HK		not_mapped_to_ensg	sp	AN32C_HUMAN	Swiss-Prot reviewed
P47884	OR1D4_HUMAN	Olfactory receptor 1D4 OS=Homo sapiens OX=9606 GN=OR1D4 PE=3 SV=3	311	non-HK		not_mapped_to_ensg	sp	OR1D4_HUMAN	Swiss-Prot reviewed
P47893	OR3A2_HUMAN	Olfactory receptor 3A2 OS=Homo sapiens OX=9606 GN=OR3A2 PE=2 SV=3	321	non-HK		not_mapped_to_ensg	sp	OR3A2_HUMAN	Swiss-Prot reviewed
Q15486	GUSP1_HUMAN	Putative inactive beta-glucuronidase-like protein SMA3 OS=Homo sapiens OX=9606 GN=GUSBP1 PE=5 SV=3	140	non-HK		not_mapped_to_ensg	sp	GUSP1_HUMAN	Swiss-Prot reviewed
Q86UC2	RSPH3_HUMAN	Radial spoke head protein 3 homolog OS=Homo sapiens OX=9606 GN=RSPH3 PE=1 SV=1	560	non-HK		not_mapped_to_ensg	sp	RSPH3_HUMAN	Swiss-Prot reviewed
Q8NGL6	O4A15_HUMAN	Olfactory receptor 4A15 OS=Homo sapiens OX=9606 GN=OR4A15 PE=3 SV=3	344	non-HK		not_mapped_to_ensg	sp	O4A15_HUMAN	Swiss-Prot reviewed
A0A087X1C5	CP2D7_HUMAN	Cytochrome P450 2D7 OS=Homo sapiens OX=9606 GN=CYP2D7 PE=1 SV=1	515	non-HK		not_mapped_to_ensg	sp	CP2D7_HUMAN	Swiss-Prot reviewed
P0CJ77	HMN10_HUMAN	Humanin-like 10 OS=Homo sapiens OX=9606 GN=MTRNR2L10 PE=2 SV=1	24	non-HK		not_mapped_to_ensg	sp	HMN10_HUMAN	Swiss-Prot reviewed
Q16048	MCHL1_HUMAN	Putative pro-MCH-like protein 1 OS=Homo sapiens OX=9606 GN=PMCHL1 PE=5 SV=2	86	non-HK		not_mapped_to_ensg	sp	MCHL1_HUMAN	Swiss-Prot reviewed
Q6MZN7	HCP5_HUMAN	HLA class I histocompatibility antigen protein P5 OS=Homo sapiens OX=9606 GN=HCP5 PE=1 SV=1	132	non-HK		not_mapped_to_ensg	sp	HCP5_HUMAN	Swiss-Prot reviewed
Q6UY13	YB003_HUMAN	Putative uncharacterized protein UNQ5830/PRO19650/PRO19816 OS=Homo sapiens OX=9606 GN=UNQ5830/PRO19650/PRO19816 PE=3 SV=1	95	non-HK		not_mapped_to_ensg	sp	YB003_HUMAN	Swiss-Prot reviewed
Q8NGC1	O11G2_HUMAN	Olfactory receptor 11G2 OS=Homo sapiens OX=9606 GN=OR11G2 PE=3 SV=2	345	non-HK		not_mapped_to_ensg	sp	O11G2_HUMAN	Swiss-Prot reviewed
A2RUQ5	CQ102_HUMAN	Uncharacterized protein TMEM132E-DT OS=Homo sapiens OX=9606 GN=TMEM132E-DT PE=1 SV=1	167	non-HK		not_mapped_to_ensg	sp	CQ102_HUMAN	Swiss-Prot reviewed
P0CJ85	DU4L2_HUMAN	Double homeobox protein 4-like protein 2 OS=Homo sapiens OX=9606 GN=DUX4L2 PE=1 SV=1	424	non-HK		not_mapped_to_ensg	sp	DU4L2_HUMAN	Swiss-Prot reviewed
P0DO92	ENOL_HUMAN	Putative protein T-ENOL OS=Homo sapiens OX=9606 GN=CDIPTOSP PE=1 SV=1	83	non-HK		not_mapped_to_ensg	sp	ENOL_HUMAN	Swiss-Prot reviewed
Q53S99	CB083_HUMAN	Putative solute carrier family 19 member 4 OS=Homo sapiens OX=9606 GN=SLC19A4P PE=1 SV=1	150	non-HK		not_mapped_to_ensg	sp	CB083_HUMAN	Swiss-Prot reviewed
Q63ZY6	NSN5C_HUMAN	Putative methyltransferase NSUN5C OS=Homo sapiens OX=9606 GN=NSUN5P2 PE=5 SV=2	315	non-HK		not_mapped_to_ensg	sp	NSN5C_HUMAN	Swiss-Prot reviewed
Q6VEQ5	WASH2_HUMAN	WAS protein family homolog 2 OS=Homo sapiens OX=9606 GN=WASH2P PE=2 SV=2	465	non-HK		not_mapped_to_ensg	sp	WASH2_HUMAN	Swiss-Prot reviewed
Q9BZ98	TTY12_HUMAN	Putative transcript Y 12 protein OS=Homo sapiens OX=9606 GN=TTTY12 PE=5 SV=1	90	non-HK		not_mapped_to_ensg	sp	TTY12_HUMAN	Swiss-Prot reviewed
Q9HBX3	SNIT1_HUMAN	Uncharacterized protein encoded by SND1-IT1 OS=Homo sapiens OX=9606 GN=SND1-IT1 PE=4 SV=1	110	non-HK		not_mapped_to_ensg	sp	SNIT1_HUMAN	Swiss-Prot reviewed
P0CJ75	HMN8_HUMAN	Humanin-like 8 OS=Homo sapiens OX=9606 GN=MTRNR2L8 PE=2 SV=1	24	non-HK		not_mapped_to_ensg	sp	HMN8_HUMAN	Swiss-Prot reviewed
Q68DW6	Q68DW6_HUMAN	Uncharacterized protein DKFZp781C0719 OS=Homo sapiens OX=9606 GN=DKFZp781C0719 PE=2 SV=1	58	non-HK		not_mapped_to_ensg	tr	Q68DW6_HUMAN	TrEMBL unreviewed
Q7RTY9	PRS41_HUMAN	Serine protease 41 OS=Homo sapiens OX=9606 GN=PRSS41 PE=1 SV=1	318	non-HK		not_mapped_to_ensg	sp	PRS41_HUMAN	Swiss-Prot reviewed
Q86SG4	DPCA2_HUMAN	Putative Dresden prostate carcinoma protein 2 OS=Homo sapiens OX=9606 GN=HMGN2P46 PE=5 SV=1	172	non-HK		not_mapped_to_ensg	sp	DPCA2_HUMAN	Swiss-Prot reviewed
Q8NCQ3	NC301_HUMAN	Putative uncharacterized protein encoded by LINC00301 OS=Homo sapiens OX=9606 GN=LINC00301 PE=5 SV=1	95	non-HK		not_mapped_to_ensg	sp	NC301_HUMAN	Swiss-Prot reviewed
Q8NGC2	OR4E2_HUMAN	Olfactory receptor 4E2 OS=Homo sapiens OX=9606 GN=OR4E2 PE=3 SV=1	313	non-HK		not_mapped_to_ensg	sp	OR4E2_HUMAN	Swiss-Prot reviewed
Q8WY50	PLAC4_HUMAN	Placenta-specific protein 4 OS=Homo sapiens OX=9606 GN=PLAC4 PE=2 SV=2	150	non-HK		not_mapped_to_ensg	sp	PLAC4_HUMAN	Swiss-Prot reviewed
Q9H0P7	AGIT1_HUMAN	Putative uncharacterized protein encoded by AGPAT4-IT1 OS=Homo sapiens OX=9606 GN=AGPAT4-IT1 PE=5 SV=1	198	non-HK		not_mapped_to_ensg	sp	AGIT1_HUMAN	Swiss-Prot reviewed
Q9UFV1	TBC29_HUMAN	Putative TBC1 domain family member 29 OS=Homo sapiens OX=9606 GN=TBC1D29P PE=5 SV=1	150	non-HK		not_mapped_to_ensg	sp	TBC29_HUMAN	Swiss-Prot reviewed
Q8TDU5	VNRL4_HUMAN	Putative vomeronasal receptor-like protein 4 OS=Homo sapiens OX=9606 GN=VN1R17P PE=5 SV=1	208	non-HK		not_mapped_to_ensg	sp	VNRL4_HUMAN	Swiss-Prot reviewed
Q96T75	DSCR8_HUMAN	Down syndrome critical region protein 8 OS=Homo sapiens OX=9606 GN=DSCR8 PE=1 SV=2	97	non-HK		not_mapped_to_ensg	sp	DSCR8_HUMAN	Swiss-Prot reviewed
Q9GZW5	SCND2_HUMAN	Putative SCAN domain-containing protein SCAND2P OS=Homo sapiens OX=9606 GN=SCAND2P PE=5 SV=2	306	non-HK		not_mapped_to_ensg	sp	SCND2_HUMAN	Swiss-Prot reviewed
Q9H4G8	DPH3B_HUMAN	Putative DPH3 homolog B OS=Homo sapiens OX=9606 GN=DPH3P1 PE=5 SV=1	78	non-HK		not_mapped_to_ensg	sp	DPH3B_HUMAN	Swiss-Prot reviewed
A4QN01	CJ040_HUMAN	Putative uncharacterized protein encoded by LINC01553 OS=Homo sapiens OX=9606 GN=LINC01553 PE=2 SV=1	128	non-HK		not_mapped_to_ensg	sp	CJ040_HUMAN	Swiss-Prot reviewed
A8MXU0	DB108_HUMAN	Putative beta-defensin 108A OS=Homo sapiens OX=9606 GN=DEFB108A PE=5 SV=2	73	non-HK		not_mapped_to_ensg	sp	DB108_HUMAN	Swiss-Prot reviewed
Q17RH7	TPRXL_HUMAN	Tetra-peptide repeat homeobox-like protein OS=Homo sapiens OX=9606 GN=TPRXL PE=1 SV=3	139	non-HK		not_mapped_to_ensg	sp	TPRXL_HUMAN	Swiss-Prot reviewed
Q71RC1	Q71RC1_HUMAN	PP13850 OS=Homo sapiens OX=9606 PE=2 SV=1	249	non-HK		not_mapped_to_ensg	tr	Q71RC1_HUMAN	TrEMBL unreviewed
A0A1B0GWI6	CX49C_HUMAN	Uncharacterized protein CXorf49C OS=Homo sapiens OX=9606 GN=CXorf49C PE=4 SV=2	518	non-HK		not_mapped_to_ensg	sp	CX49C_HUMAN	Swiss-Prot reviewed
A0AVG0	A0AVG0_HUMAN	LOC440570 OS=Homo sapiens OX=9606 GN=LOC440570 PE=2 SV=1	176	non-HK		not_mapped_to_ensg	tr	A0AVG0_HUMAN	TrEMBL unreviewed
O60774	FMO6_HUMAN	Putative dimethylaniline monooxygenase [N-oxide-forming] 6 OS=Homo sapiens OX=9606 GN=FMO6P PE=5 SV=1	539	non-HK		not_mapped_to_ensg	sp	FMO6_HUMAN	Swiss-Prot reviewed
P0CL83	ST3L1_HUMAN	Putative STAG3-like protein 1 OS=Homo sapiens OX=9606 GN=STAG3L1 PE=5 SV=1	205	non-HK		not_mapped_to_ensg	sp	ST3L1_HUMAN	Swiss-Prot reviewed
Q13072	BAGE1_HUMAN	B melanoma antigen 1 OS=Homo sapiens OX=9606 GN=BAGE PE=1 SV=1	43	non-HK		not_mapped_to_ensg	sp	BAGE1_HUMAN	Swiss-Prot reviewed
Q5T8R8	DOAS1_HUMAN	Uncharacterized protein DOCK8-AS1 OS=Homo sapiens OX=9606 GN=DOCK8-AS1 PE=5 SV=1	295	non-HK		not_mapped_to_ensg	sp	DOAS1_HUMAN	Swiss-Prot reviewed
Q8IWF7	U2D2L_HUMAN	Putative ubiquitin-conjugating enzyme E2 D2-like protein OS=Homo sapiens OX=9606 GN=UBE2DNL PE=5 SV=1	75	non-HK		not_mapped_to_ensg	sp	U2D2L_HUMAN	Swiss-Prot reviewed
Q8NI28	R32DT_HUMAN	Putative transmembrane protein RNF32-DT OS=Homo sapiens OX=9606 GN=RNF32-DT PE=5 SV=1	216	non-HK		not_mapped_to_ensg	sp	R32DT_HUMAN	Swiss-Prot reviewed
Q8WZ69	CK040_HUMAN	Putative uncharacterized protein C11orf40 OS=Homo sapiens OX=9606 GN=C11orf40 PE=2 SV=1	217	non-HK		not_mapped_to_ensg	sp	CK040_HUMAN	Swiss-Prot reviewed
A0A3G1DJQ2	SHLP3_HUMAN	Small humanin-like peptide 3 OS=Homo sapiens OX=9606 GN=MT-RNR2 PE=4 SV=1	38	non-HK		not_mapped_to_ensg	sp	SHLP3_HUMAN	Swiss-Prot reviewed
P0CG01	GKN3_HUMAN	Gastrokine-3 OS=Homo sapiens OX=9606 GN=GKN3P PE=3 SV=1	181	non-HK		not_mapped_to_ensg	sp	GKN3_HUMAN	Swiss-Prot reviewed
Q5TG53	SEAS1_HUMAN	Putative uncharacterized protein SERTAD4-AS1 OS=Homo sapiens OX=9606 GN=SERTAD4-AS1 PE=5 SV=2	156	non-HK		not_mapped_to_ensg	sp	SEAS1_HUMAN	Swiss-Prot reviewed
Q6YL49	Q6YL49_HUMAN	Uncharacterized protein OS=Homo sapiens OX=9606 PE=2 SV=1	198	non-HK		not_mapped_to_ensg	tr	Q6YL49_HUMAN	TrEMBL unreviewed
Q9BRK5	CAB45_HUMAN	45 kDa calcium-binding protein OS=Homo sapiens OX=9606 GN=SDF4 PE=1 SV=1	362	non-HK		not_mapped_to_ensg	sp	CAB45_HUMAN	Swiss-Prot reviewed
Q50KZ9	TA2R2_HUMAN	Taste receptor type 2 member 2 OS=Homo sapiens OX=9606 GN=TAS2R2 PE=3 SV=2	303	non-HK		not_mapped_to_ensg	sp	TA2R2_HUMAN	Swiss-Prot reviewed
Q58A44	PCOTH_HUMAN	Prostate collagen triple helix protein OS=Homo sapiens OX=9606 GN=PCOTH PE=1 SV=2	107	non-HK		not_mapped_to_ensg	sp	PCOTH_HUMAN	Swiss-Prot reviewed
Q8N1D0	BWR1B_HUMAN	Uncharacterized protein SLC67A1-AS OS=Homo sapiens OX=9606 GN=SLC67A1-AS PE=1 SV=3	253	non-HK		not_mapped_to_ensg	sp	BWR1B_HUMAN	Swiss-Prot reviewed
G2XKQ0	SUMO5_HUMAN	Small ubiquitin-related modifier 5 OS=Homo sapiens OX=9606 GN=SUMO1P1 PE=1 SV=2	101	non-HK		not_mapped_to_ensg	sp	SUMO5_HUMAN	Swiss-Prot reviewed
Q8NH63	O51H1_HUMAN	Olfactory receptor 51H1 OS=Homo sapiens OX=9606 GN=OR51H1 PE=3 SV=1	302	non-HK		not_mapped_to_ensg	sp	O51H1_HUMAN	Swiss-Prot reviewed
B3EWF7	EP2A2_HUMAN	Laforin, isoform 9 OS=Homo sapiens OX=9606 GN=EPM2A PE=1 SV=1	344	non-HK		not_mapped_to_ensg	sp	EP2A2_HUMAN	Swiss-Prot reviewed
Q5JQD4	PYY3_HUMAN	Putative peptide YY-3 OS=Homo sapiens OX=9606 GN=PYY3 PE=5 SV=1	70	non-HK		not_mapped_to_ensg	sp	PYY3_HUMAN	Swiss-Prot reviewed
Q8IVK1	GLCM1_HUMAN	Putative glycosylation-dependent cell adhesion molecule 1 OS=Homo sapiens OX=9606 GN=GLYCAM1 PE=5 SV=1	47	non-HK		not_mapped_to_ensg	sp	GLCM1_HUMAN	Swiss-Prot reviewed
Q9H2C8	O51V1_HUMAN	Olfactory receptor 51V1 OS=Homo sapiens OX=9606 GN=OR51V1 PE=3 SV=2	321	non-HK		not_mapped_to_ensg	sp	O51V1_HUMAN	Swiss-Prot reviewed
B7ZLF3	B7ZLF3_HUMAN	C2H2-type domain-containing protein OS=Homo sapiens OX=9606 GN=LOC728743 PE=1 SV=1	203	non-HK		not_mapped_to_ensg	tr	B7ZLF3_HUMAN	TrEMBL unreviewed
Q3KNS1	PTHD3_HUMAN	Patched domain-containing protein 3 OS=Homo sapiens OX=9606 GN=PTCHD3 PE=1 SV=4	954	non-HK		not_mapped_to_ensg	sp	PTHD3_HUMAN	Swiss-Prot reviewed
Q6ZMU1	C3P1_HUMAN	Putative protein C3P1 OS=Homo sapiens OX=9606 GN=C3P1 PE=5 SV=3	363	non-HK		not_mapped_to_ensg	sp	C3P1_HUMAN	Swiss-Prot reviewed
Q96MR7	OBAS1_HUMAN	Putative uncharacterized protein OBSCN-AS1 OS=Homo sapiens OX=9606 GN=OBSCN-AS1 PE=5 SV=1	158	non-HK		not_mapped_to_ensg	sp	OBAS1_HUMAN	Swiss-Prot reviewed
P0C7V7	SC11B_HUMAN	Putative signal peptidase complex catalytic subunit SEC11B OS=Homo sapiens OX=9606 GN=SEC11B PE=5 SV=1	166	non-HK		not_mapped_to_ensg	sp	SC11B_HUMAN	Swiss-Prot reviewed
A2RU37	CI170_HUMAN	Uncharacterized protein encoded by LINC02872 OS=Homo sapiens OX=9606 GN=LINC02872 PE=5 SV=1	121	non-HK		not_mapped_to_ensg	sp	CI170_HUMAN	Swiss-Prot reviewed
P0CZ25	D10OS_HUMAN	Uncharacterized protein DNAH10OS OS=Homo sapiens OX=9606 GN=DNAH10OS PE=2 SV=1	163	non-HK		not_mapped_to_ensg	sp	D10OS_HUMAN	Swiss-Prot reviewed
P61574	RE113_HUMAN	Endogenous retrovirus group K member 113 Rec protein OS=Homo sapiens OX=9606 GN=HERVK_113 PE=1 SV=2	105	non-HK		not_mapped_to_ensg	sp	RE113_HUMAN	Swiss-Prot reviewed
P63124	VPK04_HUMAN	Endogenous retrovirus group K member 104 Pro protein OS=Homo sapiens OX=9606 GN=HERV-K104 PE=3 SV=1	156	non-HK		not_mapped_to_ensg	sp	VPK04_HUMAN	Swiss-Prot reviewed
Q05BU3	F86JP_HUMAN	Putative protein FAM86JP OS=Homo sapiens OX=9606 GN=FAM86JP PE=5 SV=1	40	non-HK		not_mapped_to_ensg	sp	F86JP_HUMAN	Swiss-Prot reviewed
Q8NGA4	G32P1_HUMAN	Putative G-protein coupled receptor GPR32P1 OS=Homo sapiens OX=9606 GN=GPR32P1 PE=5 SV=2	272	non-HK		not_mapped_to_ensg	sp	G32P1_HUMAN	Swiss-Prot reviewed
Q96KV6	BT2A3_HUMAN	Putative butyrophilin subfamily 2 member A3 OS=Homo sapiens OX=9606 GN=BTN2A3P PE=5 SV=2	586	non-HK		not_mapped_to_ensg	sp	BT2A3_HUMAN	Swiss-Prot reviewed
Q9NRI6	PYY2_HUMAN	Putative peptide YY-2 OS=Homo sapiens OX=9606 GN=PYY2 PE=5 SV=1	33	non-HK		not_mapped_to_ensg	sp	PYY2_HUMAN	Swiss-Prot reviewed
A6NGG3	CI092_HUMAN	Putative uncharacterized protein encoded by LINC03041 OS=Homo sapiens OX=9606 GN=LINC03041 PE=4 SV=1	77	non-HK		not_mapped_to_ensg	sp	CI092_HUMAN	Swiss-Prot reviewed
P0DJD4	RBY1C_HUMAN	RNA-binding motif protein, Y chromosome, family 1 member C OS=Homo sapiens OX=9606 GN=RBMY1C PE=1 SV=1	496	non-HK		not_mapped_to_ensg	sp	RBY1C_HUMAN	Swiss-Prot reviewed
P0DMP1	HMN12_HUMAN	Humanin-like 12 OS=Homo sapiens OX=9606 GN=MTRNR2L12 PE=3 SV=2	24	non-HK		not_mapped_to_ensg	sp	HMN12_HUMAN	Swiss-Prot reviewed
Q6ZMM2	ATL5_HUMAN	ADAMTS-like protein 5 OS=Homo sapiens OX=9606 GN=ADAMTSL5 PE=1 SV=3	481	non-HK		not_mapped_to_ensg	sp	ATL5_HUMAN	Swiss-Prot reviewed
Q8NHM4	TRY6_HUMAN	Putative trypsin-6 OS=Homo sapiens OX=9606 GN=PRSS3P2 PE=5 SV=2	247	non-HK		not_mapped_to_ensg	sp	TRY6_HUMAN	Swiss-Prot reviewed
Q92670	ZN75C_HUMAN	Putative zinc finger protein 75C OS=Homo sapiens OX=9606 GN=ZNF75CP PE=5 SV=2	426	non-HK		not_mapped_to_ensg	sp	ZN75C_HUMAN	Swiss-Prot reviewed
Q9BZ68	FR8P1_HUMAN	Putative FERM domain-containing protein FRMD8P1 OS=Homo sapiens OX=9606 GN=FRMD8P1 PE=5 SV=2	369	non-HK		not_mapped_to_ensg	sp	FR8P1_HUMAN	Swiss-Prot reviewed
A0A0A0MT87	TJB24_HUMAN	T cell receptor beta joining 2-4 OS=Homo sapiens OX=9606 GN=TRBJ2-4 PE=4 SV=2	16	non-HK		not_mapped_to_ensg	sp	TJB24_HUMAN	Swiss-Prot reviewed
A4QPH2	PI4P2_HUMAN	Putative phosphatidylinositol 4-kinase alpha-like protein P2 OS=Homo sapiens OX=9606 GN=PI4KAP2 PE=5 SV=3	592	non-HK		not_mapped_to_ensg	sp	PI4P2_HUMAN	Swiss-Prot reviewed
Q0VG73	RDUR_HUMAN	Putative protein RDUR OS=Homo sapiens OX=9606 GN=RDUR PE=5 SV=1	95	non-HK		not_mapped_to_ensg	sp	RDUR_HUMAN	Swiss-Prot reviewed
Q96M42	CU129_HUMAN	Putative uncharacterized protein encoded by LINC00479 OS=Homo sapiens OX=9606 GN=LINC00479 PE=5 SV=2	142	non-HK		not_mapped_to_ensg	sp	CU129_HUMAN	Swiss-Prot reviewed
A8MUH7	PDZ1P_HUMAN	Putative PDZ domain-containing protein PDZK1P1 OS=Homo sapiens OX=9606 GN=PDZK1P1 PE=5 SV=2	402	non-HK		not_mapped_to_ensg	sp	PDZ1P_HUMAN	Swiss-Prot reviewed
A8MWL7	TM14D_HUMAN	Transmembrane protein 14DP OS=Homo sapiens OX=9606 GN=TMEM14DP PE=5 SV=2	114	non-HK		not_mapped_to_ensg	sp	TM14D_HUMAN	Swiss-Prot reviewed
H0UI37	TSTD3_HUMAN	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 OS=Homo sapiens OX=9606 GN=TSTD3 PE=3 SV=1	97	non-HK		not_mapped_to_ensg	sp	TSTD3_HUMAN	Swiss-Prot reviewed
P0C7P2	RFL3S_HUMAN	Putative protein RFPL3S OS=Homo sapiens OX=9606 GN=RFPL3S PE=2 SV=1	107	non-HK		not_mapped_to_ensg	sp	RFL3S_HUMAN	Swiss-Prot reviewed
P12525	MYCP1_HUMAN	Putative myc-like protein MYCLP1 OS=Homo sapiens OX=9606 GN=MYCLP1 PE=5 SV=2	358	non-HK		not_mapped_to_ensg	sp	MYCP1_HUMAN	Swiss-Prot reviewed
Q1ZZU3	SWI5_HUMAN	DNA repair protein SWI5 homolog OS=Homo sapiens OX=9606 GN=SWI5 PE=1 SV=1	235	non-HK		not_mapped_to_ensg	sp	SWI5_HUMAN	Swiss-Prot reviewed
Q8N7S6	ARI2O_HUMAN	Uncharacterized protein ARIH2OS OS=Homo sapiens OX=9606 GN=ARIH2OS PE=2 SV=1	290	non-HK		not_mapped_to_ensg	sp	ARI2O_HUMAN	Swiss-Prot reviewed
Q9UHU1	YK039_HUMAN	Putative uncharacterized protein PRO1716 OS=Homo sapiens OX=9606 GN=PRO1716 PE=5 SV=1	43	non-HK		not_mapped_to_ensg	sp	YK039_HUMAN	Swiss-Prot reviewed
P59052	B3AS1_HUMAN	Putative uncharacterized protein B3GALT5-AS1 OS=Homo sapiens OX=9606 GN=B3GALT5-AS1 PE=5 SV=2	145	non-HK		not_mapped_to_ensg	sp	B3AS1_HUMAN	Swiss-Prot reviewed
Q3Y452	TDRG1_HUMAN	Testis development-related protein 1 OS=Homo sapiens OX=9606 GN=TDRG1 PE=1 SV=1	100	non-HK		not_mapped_to_ensg	sp	TDRG1_HUMAN	Swiss-Prot reviewed
Q8NGN2	O10S1_HUMAN	Olfactory receptor 10S1 OS=Homo sapiens OX=9606 GN=OR10S1 PE=2 SV=2	331	non-HK		not_mapped_to_ensg	sp	O10S1_HUMAN	Swiss-Prot reviewed
Q5TEZ4	CF164_HUMAN	Putative uncharacterized protein encoded by LINC01590 OS=Homo sapiens OX=9606 GN=LINC01590 PE=5 SV=2	76	non-HK		not_mapped_to_ensg	sp	CF164_HUMAN	Swiss-Prot reviewed
A1L4Q6	YK033_HUMAN	Putative uncharacterized protein FLJ41423 OS=Homo sapiens OX=9606 PE=5 SV=1	167	non-HK		not_mapped_to_ensg	sp	YK033_HUMAN	Swiss-Prot reviewed
A4D1N5	YG018_HUMAN	Putative uncharacterized protein FLJ40288 OS=Homo sapiens OX=9606 PE=2 SV=1	150	non-HK		not_mapped_to_ensg	sp	YG018_HUMAN	Swiss-Prot reviewed
A8MWL6	SNG2L_HUMAN	Putative synaptogyrin-2 like protein OS=Homo sapiens OX=9606 PE=5 SV=1	223	non-HK		not_mapped_to_ensg	sp	SNG2L_HUMAN	Swiss-Prot reviewed
C0HME6	ALT36_HUMAN	RPL36 alternative reading frame protein OS=Homo sapiens OX=9606 GN=RPL36 PE=1 SV=1	148	non-HK		not_mapped_to_ensg	sp	ALT36_HUMAN	Swiss-Prot reviewed
P0C880	YT014_HUMAN	Putative uncharacterized protein FLJ40606 OS=Homo sapiens OX=9606 PE=5 SV=1	135	non-HK		not_mapped_to_ensg	sp	YT014_HUMAN	Swiss-Prot reviewed
Q56UQ5	TPT1L_HUMAN	TPT1-like protein OS=Homo sapiens OX=9606 PE=1 SV=2	140	non-HK		not_mapped_to_ensg	sp	TPT1L_HUMAN	Swiss-Prot reviewed
Q6ZQT0	YD023_HUMAN	Putative uncharacterized protein FLJ45035 OS=Homo sapiens OX=9606 PE=5 SV=1	140	non-HK		not_mapped_to_ensg	sp	YD023_HUMAN	Swiss-Prot reviewed
Q6ZRG5	YQ015_HUMAN	Putative uncharacterized protein FLJ43944 OS=Homo sapiens OX=9606 PE=5 SV=1	221	non-HK		not_mapped_to_ensg	sp	YQ015_HUMAN	Swiss-Prot reviewed
Q6ZRN7	YP029_HUMAN	Putative uncharacterized protein FLJ46214 OS=Homo sapiens OX=9606 PE=2 SV=1	208	non-HK		not_mapped_to_ensg	sp	YP029_HUMAN	Swiss-Prot reviewed
Q6ZRX8	YL004_HUMAN	Putative uncharacterized protein FLJ45999 OS=Homo sapiens OX=9606 PE=5 SV=1	168	non-HK		not_mapped_to_ensg	sp	YL004_HUMAN	Swiss-Prot reviewed
Q6ZTI0	YK032_HUMAN	Putative uncharacterized protein FLJ44636 OS=Homo sapiens OX=9606 PE=5 SV=1	123	non-HK		not_mapped_to_ensg	sp	YK032_HUMAN	Swiss-Prot reviewed
Q86T23	CROL1_HUMAN	Putative ciliary rootlet coiled-coil protein-like 1 protein OS=Homo sapiens OX=9606 GN=CROCCP2 PE=5 SV=1	111	non-HK		not_mapped_to_ensg	sp	CROL1_HUMAN	Swiss-Prot reviewed
Q86UQ5	GTSC1_HUMAN	Gilles de la Tourette syndrome chromosomal region candidate gene 1 protein OS=Homo sapiens OX=9606 GN=GTSCR1 PE=5 SV=2	136	non-HK		not_mapped_to_ensg	sp	GTSC1_HUMAN	Swiss-Prot reviewed
