species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	description	source_file
escherichia_coli_k12_mg1655	b3200	lptA	protein_coding	Chromosome	3343380	3343937	558	+	lipopolysaccharide transport system protein LptA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3201	lptB	protein_coding	Chromosome	3343944	3344669	726	+	lipopolysaccharide transport system ATP binding protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3202	rpoN	protein_coding	Chromosome	3344717	3346150	1434	+	RNA polymerase, sigma 54 (sigma N) factor	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3203	hpf	protein_coding	Chromosome	3346173	3346460	288	+	ribosome hibernation-promoting factor	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3204	ptsN	protein_coding	Chromosome	3346578	3347069	492	+	phosphotransferase system enzyme IIA(Ntr)	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3205	rapZ	protein_coding	Chromosome	3347115	3347969	855	+	RNase adaptor protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3206	npr	protein_coding	Chromosome	3347966	3348238	273	+	phosphorelay protein Npr	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3207	yrbL	protein_coding	Chromosome	3348452	3349084	633	+	protein kinase-like domain-containing protein YrbL	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3208	mtgA	protein_coding	Chromosome	3349081	3349809	729	-	peptidoglycan glycosyltransferase MtgA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3209	elbB	protein_coding	Chromosome	3349806	3350459	654	-	low activity glyoxalase ElbB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3210	arcB	protein_coding	Chromosome	3350689	3353025	2337	-	sensory histidine kinase ArcB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3211	yhcC	protein_coding	Chromosome	3353121	3354050	930	-	radical SAM family oxidoreductase YhcC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3212	gltB	protein_coding	Chromosome	3354725	3359185	4461	+	glutamate synthase subunit GltB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3213	gltD	protein_coding	Chromosome	3359198	3360616	1419	+	glutamate synthase subunit GltD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3214	gltF	protein_coding	Chromosome	3361176	3361940	765	+	periplasmic protein GltF	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3215	yhcA	protein_coding	Chromosome	3362112	3362786	675	+	putative fimbrial chaperone YhcA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3216	yhcD	protein_coding	Chromosome	3362807	3365188	2382	+	putative fimbrial usher protein YhcD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3218	insH-10	protein_coding	Chromosome	3365702	3366718	1017	-	IS5 transposase and trans-activator	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3219	yhcF	protein_coding	Chromosome	3366926	3367642	717	+	DUF1120 domain-containing protein YhcF	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3220	yhcG	protein_coding	Chromosome	3367827	3368954	1128	+	DUF1016 domain-containing protein YhcG	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3221	yhcH	protein_coding	Chromosome	3369014	3369478	465	-	DUF386 domain-containing protein YhcH	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3222	nanK	protein_coding	Chromosome	3369475	3370350	876	-	N-acetylmannosamine kinase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3223	nanE	protein_coding	Chromosome	3370347	3371036	690	-	putative N-acetylmannosamine-6-phosphate epimerase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3224	nanT	protein_coding	Chromosome	3371084	3372574	1491	-	N-acetylneuraminate:H(+) symporter	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3225	nanA	protein_coding	Chromosome	3372683	3373576	894	-	N-acetylneuraminate lyase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3226	nanR	protein_coding	Chromosome	3373698	3374489	792	-	DNA-binding transcriptional dual regulator NanR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3227	dcuD	protein_coding	Chromosome	3374869	3376236	1368	+	putative transporter DcuD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3228	sspB	protein_coding	Chromosome	3376279	3376776	498	-	ClpXP protease specificity-enhancing factor	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3229	sspA	protein_coding	Chromosome	3376782	3377420	639	-	stringent starvation protein A	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3230	rpsI	protein_coding	Chromosome	3377815	3378207	393	-	30S ribosomal subunit protein S9	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3231	rplM	protein_coding	Chromosome	3378223	3378651	429	-	50S ribosomal subunit protein L13	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3232	zapE	protein_coding	Chromosome	3378870	3379997	1128	-	cell division factor ZapE with ATPase activity	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3233	yhcB	protein_coding	Chromosome	3380191	3380589	399	+	conserved protein YhcB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3234	degQ	protein_coding	Chromosome	3380743	3382110	1368	+	periplasmic serine endoprotease	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3235	degS	protein_coding	Chromosome	3382200	3383267	1068	+	serine endoprotease	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3236	mdh	protein_coding	Chromosome	3383330	3384268	939	-	malate dehydrogenase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3237	argR	protein_coding	Chromosome	3384703	3385173	471	+	DNA-binding transcriptional dual regulator ArgR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3238	yhcN	protein_coding	Chromosome	3385538	3385801	264	+	DUF1471 domain-containing stress-induced protein YhcN	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3239	yhcO	protein_coding	Chromosome	3385857	3386129	273	-	putative barnase inhibitor	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3240	aaeB	protein_coding	Chromosome	3386221	3388188	1968	-	aromatic carboxylic acid efflux pump subunit AaeB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3241	aaeA	protein_coding	Chromosome	3388194	3389126	933	-	aromatic carboxylic acid efflux pump membrane fusion protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3242	aaeX	protein_coding	Chromosome	3389134	3389337	204	-	DUF1656 domain-containing protein AaeX	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3243	aaeR	protein_coding	Chromosome	3389520	3390449	930	+	LysR-type transcriptional regulator AaeR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3244	tldD	protein_coding	Chromosome	3390583	3392028	1446	-	metalloprotease TldD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4472	yhdP	protein_coding	Chromosome	3392458	3396258	3801	-	AsmA2 domain-containing protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3247	rng	protein_coding	Chromosome	3396326	3397795	1470	-	RNase G	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3248	yhdE	protein_coding	Chromosome	3397785	3398378	594	-	nucleoside triphosphate pyrophosphatase YhdE	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3249	mreD	protein_coding	Chromosome	3398387	3398875	489	-	cell shape determining protein MreD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3250	mreC	protein_coding	Chromosome	3398875	3399978	1104	-	cell shape determining protein MreC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3251	mreB	protein_coding	Chromosome	3400044	3401087	1044	-	dynamic cytoskeletal protein MreB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3252	csrD	protein_coding	Chromosome	3401392	3403332	1941	-	regulator of CsrB and CsrC decay	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3253	yhdH	protein_coding	Chromosome	3403484	3404458	975	+	acrylyl-CoA reductase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3255	accB	protein_coding	Chromosome	3405436	3405906	471	+	biotin carboxyl carrier protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3256	accC	protein_coding	Chromosome	3405917	3407266	1350	+	biotin carboxylase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3257	yhdT	protein_coding	Chromosome	3407375	3407617	243	+	DUF997 domain-containing protein YhdT	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3258	panF	protein_coding	Chromosome	3407607	3409058	1452	+	pantothenate:Na(+) symporter	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3259	prmA	protein_coding	Chromosome	3409070	3409951	882	+	methyltransferase for 50S ribosomal subunit protein L11	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3260	dusB	protein_coding	Chromosome	3410280	3411245	966	+	tRNA-dihydrouridine synthase B	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3261	fis	protein_coding	Chromosome	3411271	3411567	297	+	DNA-binding transcriptional dual regulator Fis	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3262	yhdJ	protein_coding	Chromosome	3411653	3412537	885	+	DNA adenine methyltransferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3263	yhdU	protein_coding	Chromosome	3412621	3412800	180	+	DUF2556 domain-containing protein YhdU	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3264	envR	protein_coding	Chromosome	3412803	3413465	663	-	DNA-binding transcriptional repressor EnvR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3265	acrE	protein_coding	Chromosome	3413864	3415021	1158	+	multidrug efflux pump membrane fusion lipoprotein AcrE	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3266	acrF	protein_coding	Chromosome	3415033	3418137	3105	+	multidrug efflux pump RND permease AcrF	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3267	yhdV	protein_coding	Chromosome	3418390	3418611	222	+	lipoprotein YhdV	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3269	yhdX	protein_coding	Chromosome	3420134	3421315	1182	+	putative ABC transporter membrane subunit YhdX	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3270	yhdY	protein_coding	Chromosome	3421325	3422428	1104	+	putative ABC transporter membrane subunit YhdY	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3271	yhdZ	protein_coding	Chromosome	3422436	3423194	759	+	putative ABC transporter ATP-binding subunit YhdZ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3279	yrdA	protein_coding	Chromosome	3429236	3429790	555	+	protein YrdA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3280	yrdB	protein_coding	Chromosome	3429766	3430023	258	-	conserved protein YrdB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3281	aroE	protein_coding	Chromosome	3430020	3430838	819	-	shikimate dehydrogenase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3282	tsaC	protein_coding	Chromosome	3430843	3431415	573	-	threonylcarbamoyl-AMP synthase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3283	yrdD	protein_coding	Chromosome	3431420	3431962	543	-	putative DNA topoisomerase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3284	smg	protein_coding	Chromosome	3431991	3432464	474	-	DUF494 domain-containing protein Smg	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4473	smf	protein_coding	Chromosome	3432436	3433560	1125	-	protein Smf	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3287	def	protein_coding	Chromosome	3433690	3434199	510	+	peptide deformylase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3288	fmt	protein_coding	Chromosome	3434214	3435161	948	+	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3289	rsmB	protein_coding	Chromosome	3435207	3436496	1290	+	16S rRNA m(5)C967 methyltransferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3290	trkA	protein_coding	Chromosome	3436518	3437894	1377	+	NAD-binding component of Trk potassium transporters	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3291	mscL	protein_coding	Chromosome	3438024	3438434	411	+	large conductance mechanosensitive channel	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4550	arfA	protein_coding	Chromosome	3438431	3438649	219	-	alternative ribosome-rescue factor A	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3292	zntR	protein_coding	Chromosome	3438705	3439130	426	-	DNA-binding transcriptional activator ZntR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3293	yhdN	protein_coding	Chromosome	3439141	3439509	369	-	conserved protein YhdN	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3294	rplQ	protein_coding	Chromosome	3439616	3439999	384	-	50S ribosomal subunit protein L17	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3295	rpoA	protein_coding	Chromosome	3440040	3441029	990	-	RNA polymerase subunit alpha	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b3296	rpsD	protein_coding	Chromosome	3441055	3441675	621	-	30S ribosomal subunit protein S4	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
